datetime,y
2016-07-01,699.1555
2016-07-02,644.2245
2016-07-03,717.613
2016-07-04,759.1415
2016-07-05,765.2945
2016-07-06,801.548
2016-07-07,930.3075
2016-07-08,990.2945
2016-07-09,959.971
2016-07-10,939.0975
2016-07-11,919.9815
2016-07-12,1012.046
2016-07-13,978.6475
2016-07-14,907.2355
2016-07-15,889.2175
2016-07-16,867.025
2016-07-17,949.206
2016-07-18,986.776
2016-07-19,970.738
2016-07-20,1025.0095
2016-07-21,1093.5645
2016-07-22,1124.546
2016-07-23,1139.0485
2016-07-24,1163.4355
2016-07-25,1176.1815
2016-07-26,1167.611
2016-07-27,1155.087
2016-07-28,1167.1725
2016-07-29,1168.2705
2016-07-30,1172.7635
2016-07-31,1135.896
2016-08-01,1122.275
2016-08-02,1055.038
2016-08-03,909.7985
2016-08-04,986.2635
2016-08-05,999.228
2016-08-06,1029.5495
2016-08-07,1064.488
2016-08-08,1065.587
2016-08-09,1065.8065
2016-08-10,1041.415
2016-08-11,1097.006
2016-08-12,1087.997
2016-08-13,1116.782
2016-08-14,1129.526
2016-08-15,1131.942
2016-08-16,1090.6335
2016-08-17,1064.4885
2016-08-18,1106.674
2016-08-19,1153.916
2016-08-20,1022.2995
2016-08-21,981.648
2016-08-22,1046.2495
2016-08-23,1094.589
2016-08-24,1102.0605
2016-08-25,1087.3385
2016-08-26,930.2335
2016-08-27,883.2115
2016-08-28,897.495
2016-08-29,910.4605
2016-08-30,889.365
2016-08-31,803.664
2016-09-01,953.307
2016-09-02,980.332
2016-09-03,973.9595
2016-09-04,958.358
2016-09-05,939.2425
2016-09-06,789.17
2016-09-07,761.7045
2016-09-08,850.0345
2016-09-09,923.642
2016-09-10,914.4115
2016-09-11,826.9635
2016-09-12,863.655
2016-09-13,921.6635
2016-09-14,814.2175
2016-09-15,686.7775
2016-09-16,627.013
2016-09-17,816.416
2016-09-18,853.551
2016-09-19,806.747
2016-09-20,783.2375
2016-09-21,741.2675
2016-09-22,780.161
2016-09-23,810.0425
2016-09-24,862.9985
2016-09-25,901.6685
2016-09-26,909.1385
2016-09-27,921.6635
2016-09-28,718.418
2016-09-29,526.5975
2016-09-30,552.5255
2016-10-01,682.823
2016-10-02,709.4075
2016-10-03,784.555
2016-10-04,744.124
2016-10-05,804.109
2016-10-06,742.369
2016-10-07,606.797
2016-10-08,699.7425
2016-10-09,634.0435
2016-10-10,650.742
2016-10-11,647.4465
2016-10-12,609.4335
2016-10-13,627.893
2016-10-14,581.5285
2016-10-15,638.434
2016-10-16,714.244
2016-10-17,714.6835
2016-10-18,727.2045
2016-10-19,726.989
2016-10-20,648.1075
2016-10-21,665.024
2016-10-22,621.521
2016-10-23,598.2295
2016-10-24,641.2935
2016-10-25,565.266
2016-10-26,500.891
2016-10-27,507.479
2016-10-28,495.6115
2016-10-29,402.2325
2016-10-30,494.7375
2016-10-31,471.444
2016-11-01,440.0255
2016-11-02,488.804
2016-11-03,471.2265
2016-11-04,523.739
2016-11-05,590.537
2016-11-06,618.443
2016-11-07,552.7445
2016-11-08,413.657
2016-11-09,420.909
2016-11-10,421.566
2016-11-11,500.669
2016-11-12,536.2655
2016-11-13,603.94
2016-11-14,643.7115
2016-11-15,594.4915
2016-11-16,531.4315
2016-11-17,519.5655
2016-11-18,579.328
2016-11-19,629.645
2016-11-20,595.369
2016-11-21,579.329
2016-11-22,322.0315
2016-11-23,141.6355
2016-11-24,226.6715
2016-11-25,295.226
2016-11-26,320.055
2016-11-27,378.72
2016-11-28,384.8735
2016-11-29,401.7925
2016-11-30,408.8255
2016-12-01,439.585
2016-12-02,453.646
2016-12-03,419.3705
2016-12-04,495.835
2016-12-05,493.1995
2016-12-06,383.995
2016-12-07,400.254
2016-12-08,440.6835
2016-12-09,420.2495
2016-12-10,376.9645
2016-12-11,395.64
2016-12-12,464.1955
2016-12-13,397.3985
2016-12-14,286.875
2016-12-15,270.1765
2016-12-16,289.51
2016-12-17,302.6955
2016-12-18,357.188
2016-12-19,467.052
2016-12-20,426.183
2016-12-21,413.2175
2016-12-22,402.8915
2016-12-23,369.737
2016-12-24,323.864
2016-12-25,352.43
2016-12-26,345.6155
2016-12-27,303.647
2016-12-28,249.8135
2016-12-29,268.7115
2016-12-30,281.894
2016-12-31,256.404
2017-01-01,384.5075
