datetime,y
2012-01-01,4060.0
2012-01-02,5094.0
2012-01-03,5301.0
2012-01-04,5165.0
2012-01-05,5479.0
2012-01-06,5036.0
2012-01-07,5233.0
2012-01-08,4268.0
2012-01-09,1750.0
2012-01-10,2384.0
2012-01-11,1292.0
2012-01-12,5698.0
2012-01-13,5901.0
2012-01-14,6132.0
2012-01-15,5992.0
2012-01-16,2637.0
2012-01-17,1749.0
2012-01-18,5619.0
2012-01-19,5578.0
2012-01-20,5682.0
2012-01-21,6322.0
2012-01-22,5511.0
2012-01-23,5589.0
2012-01-24,5828.0
2012-01-25,2907.0
2012-01-26,1862.0
2012-01-27,1544.0
2012-01-28,3140.0
2012-01-29,3303.0
2012-01-30,3308.0
2012-01-31,3252.0
2012-02-01,3109.0
2012-02-02,3097.0
2012-02-03,3489.0
2012-02-04,3045.0
2012-02-05,2994.0
2012-02-06,2946.0
2012-02-07,2674.0
2012-02-08,3825.0
2012-02-09,1872.0
2012-02-10,1261.0
2012-02-11,1054.0
2012-02-12,1125.0
2012-02-13,956.0
2012-02-14,911.0
2012-02-15,1033.0
2012-02-16,994.0
2012-02-17,1055.0
2012-02-18,1049.0
2012-02-19,1042.0
2012-02-20,1031.0
2012-02-21,1060.0
2012-02-22,988.0
2012-02-23,941.0
2012-02-24,883.0
2012-02-25,946.0
2012-02-26,959.0
2012-02-27,1105.0
2012-02-28,960.0
2012-02-29,949.0
2012-03-01,941.0
2012-03-02,1028.0
2012-03-03,958.0
2012-03-04,948.0
2012-03-05,891.0
2012-03-06,1009.0
2012-03-07,975.0
2012-03-08,955.0
2012-03-09,1114.0
2012-03-10,1041.0
2012-03-11,1080.0
2012-03-12,1014.0
2012-03-13,941.0
2012-03-14,940.0
2012-03-15,941.0
2012-03-16,1056.0
2012-03-17,1053.0
2012-03-18,915.0
2012-03-19,911.0
2012-03-20,1008.0
2012-03-21,995.0
2012-03-22,998.0
2012-03-23,1052.0
2012-03-24,1103.0
2012-03-25,1284.0
2012-03-26,1081.0
2012-03-27,1451.0
2012-03-28,1128.0
2012-03-29,1127.0
2012-03-30,1010.0
2012-03-31,1056.0
2012-04-01,1060.0
2012-04-02,1375.0
2012-04-03,1082.0
2012-04-04,978.0
2012-04-05,1068.0
2012-04-06,1053.0
2012-04-07,1204.0
2012-04-08,1274.0
2012-04-09,1101.0
2012-04-10,2233.0
2012-04-11,1307.0
2012-04-12,1571.0
2012-04-13,1148.0
2012-04-14,1085.0
2012-04-15,1153.0
2012-04-16,1470.0
2012-04-17,1195.0
2012-04-18,1000.0
2012-04-19,1100.0
2012-04-20,1073.0
2012-04-21,1042.0
2012-04-22,1141.0
2012-04-23,1034.0
2012-04-24,1134.0
2012-04-25,1045.0
2012-04-26,1057.0
