datetime,y
2012-01-01,24990.0
2012-01-02,24539.0
2012-01-03,25879.0
2012-01-04,26598.0
2012-01-05,24796.0
2012-01-06,24521.0
2012-01-07,25153.0
2012-01-08,24627.0
2012-01-09,27368.0
2012-01-10,25677.0
2012-01-11,26355.0
2012-01-12,25403.0
2012-01-13,22440.0
2012-01-14,23199.0
2012-01-15,20560.0
2012-01-16,21674.0
2012-01-17,19811.0
2012-01-18,17970.0
2012-01-19,17672.0
2012-01-20,19838.0
2012-01-21,18752.0
2012-01-22,15723.0
2012-01-23,14789.0
2012-01-24,16416.0
2012-01-25,17130.0
2012-01-26,19711.0
2012-01-27,19295.0
2012-01-28,20155.0
2012-01-29,18274.0
2012-01-30,17895.0
2012-01-31,19534.0
2012-02-01,17122.0
2012-02-02,14462.0
2012-02-03,12365.0
2012-02-04,12839.0
2012-02-05,13246.0
2012-02-06,12260.0
2012-02-07,12995.0
2012-02-08,13146.0
2012-02-09,13179.0
2012-02-10,11665.0
2012-02-11,11714.0
2012-02-12,12516.0
2012-02-13,12554.0
2012-02-14,15448.0
2012-02-15,12701.0
2012-02-16,12945.0
2012-02-17,12530.0
2012-02-18,16224.0
2012-02-19,21652.0
2012-02-20,21914.0
2012-02-21,19616.0
2012-02-22,18625.0
2012-02-23,18997.0
2012-02-24,17022.0
2012-02-25,18583.0
2012-02-26,13774.0
2012-02-27,12027.0
2012-02-28,13410.0
2012-02-29,12476.0
2012-03-01,12563.0
2012-03-02,13895.0
2012-03-03,20334.0
2012-03-04,16443.0
2012-03-05,13677.0
2012-03-06,14004.0
2012-03-07,13394.0
2012-03-08,14023.0
2012-03-09,13861.0
2012-03-10,13588.0
2012-03-11,14004.0
2012-03-12,14314.0
2012-03-13,16598.0
2012-03-14,18169.0
2012-03-15,16786.0
2012-03-16,17959.0
2012-03-17,18940.0
2012-03-18,20426.0
2012-03-19,19371.0
2012-03-20,22175.0
2012-03-21,20311.0
2012-03-22,21563.0
2012-03-23,21717.0
2012-03-24,23542.0
2012-03-25,22693.0
2012-03-26,22279.0
2012-03-27,24131.0
2012-03-28,23129.0
2012-03-29,23220.0
2012-03-30,20242.0
2012-03-31,22519.0
2012-04-01,20687.0
2012-04-02,23794.0
2012-04-03,23879.0
2012-04-04,22450.0
2012-04-05,23825.0
2012-04-06,25227.0
2012-04-07,23716.0
2012-04-08,21976.0
2012-04-09,20542.0
2012-04-10,21702.0
2012-04-11,24099.0
2012-04-12,21871.0
2012-04-13,20959.0
2012-04-14,21602.0
2012-04-15,21948.0
2012-04-16,20968.0
2012-04-17,19667.0
2012-04-18,19797.0
2012-04-19,19821.0
2012-04-20,18995.0
2012-04-21,17949.0
2012-04-22,19710.0
2012-04-23,19591.0
2012-04-24,17390.0
2012-04-25,19094.0
2012-04-26,18923.0
2012-04-27,15535.0
2012-04-28,14662.0
2012-04-29,14679.0
2012-04-30,14129.0
2012-05-01,14694.0
2012-05-02,14187.0
2012-05-03,14719.0
2012-05-04,13703.0
2012-05-05,14436.0
2012-05-06,14428.0
2012-05-07,13220.0
2012-05-08,15265.0
