datetime,y
2012-01-01,71692.0
2012-01-02,67731.0
2012-01-03,65171.0
2012-01-04,71691.0
2012-01-05,65894.0
2012-01-06,61764.0
2012-01-07,60959.0
2012-01-08,69379.0
2012-01-09,74820.0
2012-01-10,65468.0
2012-01-11,68718.0
2012-01-12,62319.0
2012-01-13,55580.0
2012-01-14,53128.0
2012-01-15,50726.0
2012-01-16,53923.0
2012-01-17,51157.0
2012-01-18,51181.0
2012-01-19,47903.0
2012-01-20,48954.0
2012-01-21,45146.0
2012-01-22,44645.0
2012-01-23,45679.0
2012-01-24,45192.0
2012-01-25,48318.0
2012-01-26,46041.0
2012-01-27,47309.0
2012-01-28,48764.0
2012-01-29,47399.0
2012-01-30,45864.0
2012-01-31,46508.0
2012-02-01,49288.0
2012-02-02,42878.0
2012-02-03,44583.0
2012-02-04,43243.0
2012-02-05,41799.0
2012-02-06,44188.0
2012-02-07,39524.0
2012-02-08,46508.0
2012-02-09,45575.0
2012-02-10,44347.0
2012-02-11,41834.0
2012-02-12,44311.0
2012-02-13,43072.0
2012-02-14,44770.0
2012-02-15,44724.0
2012-02-16,43177.0
2012-02-17,44666.0
2012-02-18,43737.0
2012-02-19,44473.0
2012-02-20,45626.0
2012-02-21,44166.0
2012-02-22,48475.0
2012-02-23,44843.0
2012-02-24,47034.0
2012-02-25,46895.0
2012-02-26,49499.0
2012-02-27,43886.0
2012-02-28,45020.0
2012-02-29,44191.0
2012-03-01,40726.0
2012-03-02,47801.0
2012-03-03,48462.0
2012-03-04,46823.0
2012-03-05,48069.0
2012-03-06,47649.0
2012-03-07,50139.0
2012-03-08,44859.0
2012-03-09,41168.0
2012-03-10,42387.0
2012-03-11,44789.0
2012-03-12,50125.0
2012-03-13,49064.0
2012-03-14,50799.0
2012-03-15,47670.0
2012-03-16,50149.0
2012-03-17,53405.0
2012-03-18,53689.0
2012-03-19,57093.0
2012-03-20,53852.0
2012-03-21,53509.0
2012-03-22,54437.0
2012-03-23,60523.0
2012-03-24,64933.0
2012-03-25,65854.0
2012-03-26,61340.0
2012-03-27,63837.0
2012-03-28,65458.0
2012-03-29,61632.0
2012-03-30,59840.0
2012-03-31,61096.0
2012-04-01,62867.0
2012-04-02,65291.0
2012-04-03,65135.0
2012-04-04,64481.0
